nuts1_region,country_code,trust_index,voting_behavior_manifest,radical_right_vote,immigrants_impact_country,educ_attainment,gender,age,delta_nuts1_gdp_percap_pps_pct_eu_avg_5yr,delta_nuts1_unemployment_rate_5yr,delta_nuts1_net_migration_2yr,cluster_k6
EL3,GR,2.6666666666666665,Valid Party Vote,0.0,3.0,6.0,0,35.0,1,-11.6,-0.5,4
EL4,GR,5.333333333333333,Valid Party Vote,0.0,7.0,2.0,1,42.0,-3,-6.3999996,0.3,0
EL5,GR,5.0,Valid Party Vote,0.0,9.0,4.0,0,43.0,0,-8.2,3.4,0
EL5,GR,3.0,Valid Party Vote,0.0,5.0,4.0,0,53.0,0,-8.2,3.4,0
EL3,GR,0.0,Ineligible / Not Applicable,,8.0,4.0,1,23.0,1,-11.6,-0.5,4
EL3,GR,4.333333333333333,Valid Party Vote,0.0,5.0,2.0,1,82.0,1,-11.6,-0.5,4
EL5,GR,3.0,Valid Party Vote,0.0,3.0,1.0,1,80.0,0,-8.2,3.4,0
EL5,GR,4.666666666666667,Valid Party Vote,0.0,5.0,6.0,1,64.0,0,-8.2,3.4,0
EL3,GR,4.0,Refuse to Say,,3.0,4.0,1,67.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,5.0,2.0,0,69.0,0,-8.2,3.4,0
EL3,GR,6.0,Valid Party Vote,0.0,0.0,1.0,0,82.0,1,-11.6,-0.5,4
EL6,GR,3.6666666666666665,Ineligible / Not Applicable,,3.0,1.0,1,74.0,1,-7.300001,1.2,0
EL3,GR,3.3333333333333335,Valid Party Vote,0.0,6.0,4.0,0,46.0,1,-11.6,-0.5,4
EL3,GR,3.0,Ineligible / Not Applicable,,7.0,6.0,1,36.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,6.0,4.0,1,64.0,0,-8.2,3.4,0
EL3,GR,7.333333333333333,Refuse to Say,,3.0,6.0,1,57.0,1,-11.6,-0.5,4
EL3,GR,6.666666666666667,Valid Party Vote,0.0,5.0,4.0,0,39.0,1,-11.6,-0.5,4
EL6,GR,6.0,Ineligible / Not Applicable,,9.0,1.0,0,38.0,1,-7.300001,1.2,0
EL5,GR,4.666666666666667,Valid Party Vote,0.0,5.0,4.0,1,58.0,0,-8.2,3.4,0
EL5,GR,4.0,Refuse to Say,,8.0,4.0,1,59.0,0,-8.2,3.4,0
EL6,GR,3.0,Valid Party Vote,1.0,5.0,2.0,1,60.0,1,-7.300001,1.2,0
EL3,GR,0.0,Ineligible / Not Applicable,,7.0,4.0,1,36.0,1,-11.6,-0.5,4
EL6,GR,2.0,Valid Party Vote,0.0,3.0,4.0,1,47.0,1,-7.300001,1.2,0
EL3,GR,3.0,Valid Party Vote,0.0,2.0,6.0,0,47.0,1,-11.6,-0.5,4
EL6,GR,2.6666666666666665,Valid Party Vote,0.0,4.0,4.0,0,77.0,1,-7.300001,1.2,0
EL3,GR,1.6666666666666667,Valid Party Vote,0.0,2.0,6.0,1,66.0,1,-11.6,-0.5,4
EL6,GR,5.0,Valid Party Vote,0.0,4.0,4.0,1,65.0,1,-7.300001,1.2,0
EL6,GR,2.0,Valid Party Vote,0.0,0.0,1.0,1,70.0,1,-7.300001,1.2,0
EL6,GR,5.333333333333333,Valid Party Vote,0.0,1.0,1.0,1,83.0,1,-7.300001,1.2,0
EL3,GR,6.333333333333333,Valid Party Vote,0.0,2.0,4.0,0,75.0,1,-11.6,-0.5,4
EL6,GR,4.0,Refuse to Say,,3.0,4.0,1,65.0,1,-7.300001,1.2,0
EL3,GR,3.3333333333333335,Ineligible / Not Applicable,,7.0,6.0,1,40.0,1,-11.6,-0.5,4
EL3,GR,4.666666666666667,Valid Party Vote,0.0,5.0,4.0,0,24.0,1,-11.6,-0.5,4
EL5,GR,4.666666666666667,Valid Party Vote,0.0,5.0,4.0,1,23.0,0,-8.2,3.4,0
EL6,GR,1.3333333333333333,Refuse to Say,,3.0,4.0,0,65.0,1,-7.300001,1.2,0
